"","player","time","time_ms","advancement","ranked_event","n_advancements"
"162","infume",00:16:14.532,974532,"The City at the End of the Game",NA,31
"163","infume",00:16:30.592,990592,"Cover Me With Diamonds",NA,32
"164","infume",00:16:30.696,990696,"Diamonds!",NA,33
"165","infume",00:16:34.840,994840,"Sky's the Limit",NA,34
"166","7rowl",00:16:38.156,998156,"Remote Getaway",NA,27
"167","7rowl",00:16:38.385,998385,"Bullseye",NA,28
"168","7rowl",00:17:28.936,1048936,"The City at the End of the Game",NA,29
"169","maskers_",00:17:30.260,1050260,"Eye Spy",NA,27
"170","7rowl",00:17:34.936,1054936,"Cover Me With Diamonds",NA,30
"171","7rowl",00:17:38.701,1058701,"Diamonds!",NA,31
"172","7rowl",00:17:41.887,1061887,"Sky's the Limit",NA,32
"173","infume",00:18:03.984,1083984,"Great View From Up Here",NA,35
